day_date;category;amount_cents;details;id
"2020-03-15";"Other";14,4;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1536
"2020-03-16";"Housing";11,32;"Detail 1153";1537
"2020-03-17";"Transportation";0,93;"Detail 1154";1538
"2020-03-18";"Food";23,51;"Detail 1155";1539
"2020-03-19";"Utilities";12,65;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1540
"2020-03-20";"Insurance";8,08;"Detail 1156";1541
"2020-03-21";"Health";10,9;"Detail 1157";1542
"2020-03-22";"Saving";22,86;"Detail 1158";1543
"2020-03-23";"Other";18,34;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1544
"2020-03-24";"Housing";15,62;"Detail 1159";1545
"2020-03-25";"Transportation";29,87;"Detail 1160";1546
"2020-03-26";"Food";7,39;"Detail 1161";1547
"2020-03-27";"Utilities";26,31;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1548
"2020-03-28";"Insurance";1,97;"Detail 1162";1549
"2020-03-29";"Health";14,44;"Detail 1163";1550
"2020-03-30";"Saving";26,96;"Detail 1164";1551
"2020-03-31";"Other";0,13;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1552
"2020-04-01";"Housing";4,86;"Detail 1165";1553
"2020-04-02";"Transportation";16,86;"Detail 1166";1554
"2020-04-03";"Food";22,23;"Detail 1167";1555
"2020-04-04";"Utilities";12,69;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1556
"2020-04-05";"Insurance";1,41;"Detail 1168";1557
"2020-04-06";"Health";24,25;"Detail 1169";1558
"2020-04-07";"Saving";19,39;"Detail 1170";1559
"2020-04-08";"Other";21,13;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1560
"2020-04-09";"Housing";23,77;"Detail 1171";1561
"2020-04-10";"Transportation";28,25;"Detail 1172";1562
"2020-04-11";"Food";4,93;"Detail 1173";1563
"2020-04-12";"Utilities";9,97;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1564
"2020-04-13";"Insurance";28,32;"Detail 1174";1565
"2020-04-14";"Health";10,6;"Detail 1175";1566
"2020-04-15";"Saving";24,85;"Detail 1176";1567
"2020-04-16";"Other";24,72;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1568
"2020-04-17";"Housing";19,66;"Detail 1177";1569
"2020-04-18";"Transportation";2,81;"Detail 1178";1570
"2020-04-19";"Food";19,07;"Detail 1179";1571
"2020-04-20";"Utilities";28,8;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1572
"2020-04-21";"Insurance";21,77;"Detail 1180";1573
"2020-04-22";"Health";16,59;"Detail 1181";1574
"2020-04-23";"Saving";6,86;"Detail 1182";1575
"2020-04-24";"Other";15,96;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1576
"2020-04-25";"Housing";28,33;"Detail 1183";1577
"2020-04-26";"Transportation";11,97;"Detail 1184";1578
"2020-04-27";"Food";7,91;"Detail 1185";1579
"2020-04-28";"Utilities";18,28;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1580
"2020-04-29";"Insurance";21,04;"Detail 1186";1581
"2020-04-30";"Health";0,75;"Detail 1187";1582
"2020-05-01";"Saving";29,67;"Detail 1188";1583
"2020-05-02";"Other";1,86;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1584
"2020-05-03";"Housing";4,47;"Detail 1189";1585
"2020-05-04";"Transportation";2,47;"Detail 1190";1586
"2020-05-05";"Food";15,91;"Detail 1191";1587
"2020-05-06";"Utilities";24,75;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1588
"2020-05-07";"Insurance";7,61;"Detail 1192";1589
"2020-05-08";"Health";24,19;"Detail 1193";1590
"2020-05-09";"Saving";21,76;"Detail 1194";1591
"2020-05-10";"Other";10,02;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1592
"2020-05-11";"Housing";24,91;"Detail 1195";1593
"2020-05-12";"Transportation";11,96;"Detail 1196";1594
"2020-05-13";"Food";9,17;"Detail 1197";1595
"2020-05-14";"Utilities";2,99;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1596
"2020-05-15";"Insurance";19,94;"Detail 1198";1597
"2020-05-16";"Health";12,75;"Detail 1199";1598
"2020-05-17";"Saving";12,58;"Detail 1200";1599
"2020-05-18";"Other";7,03;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1600
"2020-05-19";"Housing";17,9;"Detail 1201";1601
"2020-05-20";"Transportation";6,02;"Detail 1202";1602
"2020-05-21";"Food";28,15;"Detail 1203";1603
"2020-05-22";"Utilities";11,63;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1604
"2020-05-23";"Insurance";0,25;"Detail 1204";1605
"2020-05-24";"Health";25,78;"Detail 1205";1606
"2020-05-25";"Saving";7,38;"Detail 1206";1607
"2020-05-26";"Other";17,81;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1608
"2020-05-27";"Housing";24,78;"Detail 1207";1609
"2020-05-28";"Transportation";11,32;"Detail 1208";1610
"2020-05-29";"Food";23,19;"Detail 1209";1611
"2020-05-30";"Utilities";24,6;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1612
"2020-05-31";"Insurance";4,28;"Detail 1210";1613
"2020-06-01";"Health";24,33;"Detail 1211";1614
"2020-06-02";"Saving";10,32;"Detail 1212";1615
"2020-06-03";"Other";14,58;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1616
"2020-06-04";"Housing";29,38;"Detail 1213";1617
"2020-06-05";"Transportation";9,92;"Detail 1214";1618
"2020-06-06";"Food";21,82;"Detail 1215";1619
"2020-06-07";"Utilities";6,16;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1620
"2020-06-08";"Insurance";3,65;"Detail 1216";1621
"2020-06-09";"Health";12,71;"Detail 1217";1622
"2020-06-10";"Saving";3,18;"Detail 1218";1623
"2020-06-11";"Other";15,32;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1624
"2020-06-12";"Housing";5,84;"Detail 1219";1625
"2020-06-13";"Transportation";18,25;"Detail 1220";1626
"2020-06-14";"Food";5,55;"Detail 1221";1627
"2020-06-15";"Utilities";3,93;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1628
"2020-06-16";"Insurance";26,88;"Detail 1222";1629
"2020-06-17";"Health";7,07;"Detail 1223";1630
"2020-06-18";"Saving";1,2;"Detail 1224";1631
"2020-06-19";"Other";27,91;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1632
"2020-06-20";"Housing";16,17;"Detail 1225";1633
"2020-06-21";"Transportation";10,99;"Detail 1226";1634
"2020-06-22";"Food";22,46;"Detail 1227";1635
"2020-06-23";"Utilities";4,9;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1636
"2020-06-24";"Insurance";26,84;"Detail 1228";1637
"2020-06-25";"Health";3,04;"Detail 1229";1638
"2020-06-26";"Saving";28,41;"Detail 1230";1639
"2020-06-27";"Other";21,54;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1640
"2020-06-28";"Housing";24,03;"Detail 1231";1641
"2020-06-29";"Transportation";12,06;"Detail 1232";1642
"2020-06-30";"Food";24,44;"Detail 1233";1643
"2020-07-01";"Utilities";5,97;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1644
"2020-07-02";"Insurance";9,76;"Detail 1234";1645
"2020-07-03";"Health";2,18;"Detail 1235";1646
"2020-07-04";"Saving";9,98;"Detail 1236";1647
"2020-07-05";"Other";2,27;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1648
"2020-07-06";"Housing";20,75;"Detail 1237";1649
"2020-07-07";"Transportation";29,44;"Detail 1238";1650
"2020-07-08";"Food";23,9;"Detail 1239";1651
"2020-07-09";"Utilities";23,95;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1652
"2020-07-10";"Insurance";10,41;"Detail 1240";1653
"2020-07-11";"Health";13,58;"Detail 1241";1654
"2020-07-12";"Saving";20,85;"Detail 1242";1655
"2020-07-13";"Other";20,97;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1656
"2020-07-14";"Housing";21,12;"Detail 1243";1657
"2020-07-15";"Transportation";3,19;"Detail 1244";1658
"2020-07-16";"Food";26,63;"Detail 1245";1659
"2020-07-17";"Utilities";0,28;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1660
"2020-07-18";"Insurance";22,3;"Detail 1246";1661
"2020-07-19";"Health";28,73;"Detail 1247";1662
"2020-07-20";"Saving";17,47;"Detail 1248";1663
"2020-07-21";"Other";25,15;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1664
"2020-07-22";"Housing";4,77;"Detail 1249";1665
"2020-07-23";"Transportation";8,05;"Detail 1250";1666
"2020-07-24";"Food";12,31;"Detail 1251";1667
"2020-07-25";"Utilities";5,83;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1668
"2020-07-26";"Insurance";17,56;"Detail 1252";1669
"2020-07-27";"Health";25,5;"Detail 1253";1670
"2020-07-28";"Saving";20,16;"Detail 1254";1671
"2020-07-29";"Other";17,24;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1672
"2020-07-30";"Housing";23,31;"Detail 1255";1673
"2020-07-31";"Transportation";0,31;"Detail 1256";1674
"2020-08-01";"Food";24,74;"Detail 1257";1675
"2020-08-02";"Utilities";11,97;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1676
"2020-08-03";"Insurance";2,01;"Detail 1258";1677
"2020-08-04";"Health";19,75;"Detail 1259";1678
"2020-08-05";"Saving";2,24;"Detail 1260";1679
"2020-08-06";"Other";23,25;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1680
"2020-08-07";"Housing";12,43;"Detail 1261";1681
"2020-08-08";"Transportation";28,42;"Detail 1262";1682
"2020-08-09";"Food";18,22;"Detail 1263";1683
"2020-08-10";"Utilities";15,66;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1684
"2020-08-11";"Insurance";6,69;"Detail 1264";1685
"2020-08-12";"Health";11,32;"Detail 1265";1686
"2020-08-13";"Saving";12,68;"Detail 1266";1687
"2020-08-14";"Other";12,34;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1688
"2020-08-15";"Housing";19,88;"Detail 1267";1689
"2020-08-16";"Transportation";8,48;"Detail 1268";1690
"2020-08-17";"Food";2,97;"Detail 1269";1691
"2020-08-18";"Utilities";18,47;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1692
"2020-08-19";"Insurance";14,6;"Detail 1270";1693
"2020-08-20";"Health";26,87;"Detail 1271";1694
"2020-08-21";"Saving";3,96;"Detail 1272";1695
"2020-08-22";"Other";24,53;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1696
"2020-08-23";"Housing";22,14;"Detail 1273";1697
"2020-08-24";"Transportation";7,2;"Detail 1274";1698
"2020-08-25";"Food";17,65;"Detail 1275";1699
"2020-08-26";"Utilities";15,78;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1700
"2020-08-27";"Insurance";24,49;"Detail 1276";1701
"2020-08-28";"Health";9,08;"Detail 1277";1702
"2020-08-29";"Saving";17,04;"Detail 1278";1703
"2020-08-30";"Other";21,44;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1704
"2020-08-31";"Housing";10,76;"Detail 1279";1705
"2020-09-01";"Transportation";11,75;"Detail 1280";1706
"2020-09-02";"Food";11,39;"Detail 1281";1707
"2020-09-03";"Utilities";17,47;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1708
"2020-09-04";"Insurance";20,99;"Detail 1282";1709
"2020-09-05";"Health";0,55;"Detail 1283";1710
"2020-09-06";"Saving";8,87;"Detail 1284";1711
"2020-09-07";"Other";6,31;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1712
"2020-09-08";"Housing";12,17;"Detail 1285";1713
"2020-09-09";"Transportation";23,65;"Detail 1286";1714
"2020-09-10";"Food";25,83;"Detail 1287";1715
"2020-09-11";"Utilities";2,53;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1716
"2020-09-12";"Insurance";17,97;"Detail 1288";1717
"2020-09-13";"Health";21,74;"Detail 1289";1718
"2020-09-14";"Saving";6,25;"Detail 1290";1719
"2020-09-15";"Other";12,04;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1720
"2020-09-16";"Housing";9,63;"Detail 1291";1721
"2020-09-17";"Transportation";4,88;"Detail 1292";1722
"2020-09-18";"Food";0,96;"Detail 1293";1723
"2020-09-19";"Utilities";28,34;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1724
"2020-09-20";"Insurance";11,52;"Detail 1294";1725
"2020-09-21";"Health";19,83;"Detail 1295";1726
"2020-09-22";"Saving";11,02;"Detail 1296";1727
"2020-09-23";"Other";4,89;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1728
"2020-09-24";"Housing";2,36;"Detail 1297";1729
"2020-09-25";"Transportation";11,42;"Detail 1298";1730
"2020-09-26";"Food";6,42;"Detail 1299";1731
"2020-09-27";"Utilities";14,8;"Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail Detail DetailDetailDetailDetail";1732
"2020-09-28";"Insurance";3,08;"Detail 1300";1733
"2020-09-29";"Health";10,42;"Detail 1301";1734
"2020-09-30";"Saving";23,28;"Detail 1302";1735
